0	1	1	1	1	1
0.25	0.987315551	0.987332937	0.98122151	0.992090215	0.969472347
0.5	0.970278	0.970278	0.970278	0.970278	0.938576
0.75	0.935494699	0.935477313	0.94555149	0.925895035	0.865467403
1	0.869573	0.869573	0.885424	0.850273	0.708303
1.25	0.764931527	0.764983686	0.777489904	0.738243769	0.452696415
1.5	0.637234	0.637234	0.646193	0.59864	0.19409
1.75	0.505730443	0.505539192	0.519353392	0.44529864	0.031270686
2	0.380771	0.380771	0.401447	0.298073	-0.033425
2.25	0.269349077	0.270061921	0.292410027	0.175437797	0
2.5	0.173931	0.173931	0.197364	0.084337	0
2.75	0.094848998	0.092188875	0.121739999	0	0
3	0.028426	0.028426	0.067022	0	0
3.25	-0.028406943	-0.014258045	0.032568228	0	0
3.5	-0.072277	-0.038507	0.013181	0	0
3.75	-0.099507477	-0.047911693	0.003155466	0	0
4	-0.111648	-0.044108	-0.000686	0	0
4.25	-0.111554773	-0.028243057	0	0	0
4.5	-0.102084	-0.001464	0	0	0
